id;code;device_id;app_type;status;create_time
1;harness Guinea-Bissau white;Ports Automotive SDR;ANDROID;ACTIVATED;2021-09-23T12:13:47
2;Assistant;Functionality Cambridgeshire whiteboard;OTHER;NEW;2021-09-23T11:35:41
3;Customer-focused IB;Chair matrix Plastic;IOS;NEW;2021-09-23T04:54:27
4;Sweden;Gorgeous virtual;IOS;ACTIVATED;2021-09-23T04:08:35
5;cross-platform;Savings Cordoba TCP;IOS;NEW;2021-09-23T07:45:19
6;synthesize Avon;Credit synthesizing withdrawal;ANDROID;ACTIVATED;2021-09-23T03:28:31
7;leverage value-added Ergonomic;indigo;ANDROID;ACTIVATED;2021-09-23T01:54:34
8;Realigned Lead;payment SAS Cuban;ANDROID;ACTIVATED;2021-09-23T02:35:49
9;Security;Car Bike;ANDROID;NEW;2021-09-22T20:34:28
10;bus HTTP;synergize hacking;IOS;NEW;2021-09-23T09:20:45
